ID,MA_HOPDONG_TINDUNG,SO_KY,NGAY_TRA,TRA_GOC,TRA_LAI
1,CTRA001255,1,2023-04-17,91666667,26906301
2,CTRA001255,2,2023-05-17,91666667,24953425
3,CTRA001255,3,2023-06-17,91666667,24664110
4,CTRA001255,4,2023-07-17,91666667,22783562
5,CTRA001255,5,2023-08-17,91666667,22421918
6,CTRA001255,6,2023-09-17,91666667,21300822
7,CTRA001255,7,2023-10-17,91666667,19528767
8,CTRA001255,8,2023-11-17,91666667,19058630
9,CTRA001255,9,2023-12-17,91666667,17358904
10,CTRA001255,10,2024-01-17,91666667,16816438
11,CTRA001255,11,2024-02-17,91666667,15695342
12,CTRA001255,12,2024-03-17,91666667,13633973
13,CTRA001255,13,2024-04-17,91666667,13453151
14,CTRA001255,14,2024-05-17,91666667,11934247
15,CTRA001255,15,2024-06-17,91666667,11210959
16,CTRA001255,16,2024-07-17,91666667,9764384
17,CTRA001255,17,2024-08-17,91666667,8968767
18,CTRA001255,18,2024-09-17,91666667,7847671
19,CTRA001255,19,2024-10-17,91666667,6509589
20,CTRA001255,20,2024-11-17,91666667,5605479
21,CTRA001255,21,2024-12-17,91666667,4339726
22,CTRA001258,1,2023-06-26,208333333,31615753
23,CTRA001258,2,2023-07-26,208333333,28046233
24,CTRA001258,3,2023-08-26,208333333,26346461
25,CTRA001258,4,2023-09-26,208333333,23711815
26,CTRA001258,5,2023-10-26,208333333,20397260
27,CTRA001258,6,2023-11-26,208333333,18442523
28,CTRA001258,7,2023-12-26,208333333,15297945
29,CTRA001258,8,2024-01-26,208333333,13173231
30,CTRA001258,9,2024-02-26,208333333,10538585
31,CTRA001258,10,2024-03-26,208333333,7394007
32,CTRA001258,11,2024-04-26,208333333,5269292
33,CTRA001258,12,2024-05-27,208333337,2634646
34,CTRA001263,1,2023-02-25,250000000,38473973
35,CTRA001263,2,2023-03-25,250000000,31854795
36,CTRA001263,3,2023-04-25,250000000,32061644
37,CTRA001263,4,2023-05-25,250000000,27924658
38,CTRA001263,5,2023-06-25,250000000,25649315
39,CTRA001263,6,2023-07-25,250000000,21719178
40,CTRA001263,7,2023-08-25,250000000,19236986
41,CTRA001263,8,2023-09-25,250000000,16030822
42,CTRA001263,9,2023-10-25,250000000,12410959
43,CTRA001263,10,2023-11-25,250000000,9618493
44,CTRA001263,11,2023-12-25,250000000,6205479
45,CTRA001263,12,2024-01-26,250000000,3309589
46,CTRA001264,1,2023-02-08,166666667,128246575
47,CTRA001264,2,2023-03-08,166666667,113905023
48,CTRA001264,3,2023-04-08,166666667,123971689
49,CTRA001264,4,2023-05-08,166666667,117904110
50,CTRA001264,5,2023-06-08,166666667,119696804
51,CTRA001264,6,2023-07-08,166666667,113767123
52,CTRA001264,7,2023-08-08,166666667,115421918
