ID,MA_KEHOACH,MA_HOPDONG_TINDUNG,SODU_DAUKI,SO_KY,NGAY_DAUKI,NGAY_CUOIKY,SONGAY_TINHLAI,LAISUAT,GOC_PHAITRA,LAI_PHAITRA,TONG_TIEN
1,KH-CTRA001255-1,CTRA001255,2200000000,1,2023-03-18,2023-04-17,31,14.4,91666667,26906301,118572968
2,KH-CTRA001255-2,CTRA001255,2108333333,2,2023-04-18,2023-05-17,30,14.4,91666667,24953425,116620092
3,KH-CTRA001255-3,CTRA001255,2016666666,3,2023-05-18,2023-06-17,31,14.4,91666667,24664110,116330777
4,KH-CTRA001255-4,CTRA001255,1924999999,4,2023-06-18,2023-07-17,30,14.4,91666667,22783562,114450229
5,KH-CTRA001255-5,CTRA001255,1833333332,5,2023-07-18,2023-08-17,31,14.4,91666667,22421918,114088585
6,KH-CTRA001255-6,CTRA001255,1741666665,6,2023-08-18,2023-09-17,31,14.4,91666667,21300822,112967489
7,KH-CTRA001255-7,CTRA001255,1649999998,7,2023-09-18,2023-10-17,30,14.4,91666667,19528767,111195434
8,KH-CTRA001255-8,CTRA001255,1558333331,8,2023-10-18,2023-11-17,31,14.4,91666667,19058630,110725297
9,KH-CTRA001255-9,CTRA001255,1466666664,9,2023-11-18,2023-12-17,30,14.4,91666667,17358904,109025571
10,KH-CTRA001255-10,CTRA001255,1374999997,10,2023-12-18,2024-01-17,31,14.4,91666667,16816438,108483105
11,KH-CTRA001255-11,CTRA001255,1283333330,11,2024-01-18,2024-02-17,31,14.4,91666667,15695342,107362009
12,KH-CTRA001255-12,CTRA001255,1191666663,12,2024-02-18,2024-03-17,29,14.4,91666667,13633973,105300640
13,KH-CTRA001255-13,CTRA001255,1099999996,13,2024-03-18,2024-04-17,31,14.4,91666667,13453151,105119818
14,KH-CTRA001255-14,CTRA001255,1008333329,14,2024-04-18,2024-05-17,30,14.4,91666667,11934247,103600914
15,KH-CTRA001255-15,CTRA001255,916666662,15,2024-05-18,2024-06-17,31,14.4,91666667,11210959,102877626
16,KH-CTRA001255-16,CTRA001255,824999995,16,2024-06-18,2024-07-17,30,14.4,91666667,9764384,101431051
17,KH-CTRA001255-17,CTRA001255,733333328,17,2024-07-18,2024-08-17,31,14.4,91666667,8968767,100635434
18,KH-CTRA001255-18,CTRA001255,641666661,18,2024-08-18,2024-09-17,31,14.4,91666667,7847671,99514338
19,KH-CTRA001255-19,CTRA001255,549999994,19,2024-09-18,2024-10-17,30,14.4,91666667,6509589,98176256
20,KH-CTRA001255-20,CTRA001255,458333327,20,2024-10-18,2024-11-17,31,14.4,91666667,5605479,97272146
21,KH-CTRA001255-21,CTRA001255,366666660,21,2024-11-18,2024-12-17,30,14.4,91666667,4339726,96006393
22,KH-CTRA001255-22,CTRA001255,274999993,22,2024-12-18,2025-01-17,31,14.4,91666667,3363288,95029955
23,KH-CTRA001255-23,CTRA001255,183333326,23,2025-01-18,2025-02-17,31,14.4,91666667,2242192,93908859
24,KH-CTRA001255-24,CTRA001255,91666659,24,2025-02-18,2025-03-18,29,14.4,91666659,1048767,92715434
25,KH-CTRA001258-1,CTRA001258,2500000000,1,2023-05-27,2023-06-26,31,14.89,208333333,31615753,239949086
26,KH-CTRA001258-2,CTRA001258,2291666667,2,2023-06-27,2023-07-26,30,14.89,208333333,28046233,236379566
