ID,MA_NGANHNGHE_KINHTE_CAP01,MA_NGANHNGHE_KINHTE_CAP02,MA_NGANHNGHE_KINHTE_CAP03,TEN_NGANHNGHE_KINHTE_CAP03
1,A,1,11,Trồng cây hàng năm
2,A,1,12,Trồng cây lâu năm
3,A,1,13,Nhân và chăm sóc cây giống nông nghiệp
4,A,1,14,Chăn nuôi
5,A,1,15,"Trồng trọt, chăn nuôi hỗn hợp"
6,A,1,16,Hoạt động dịch vụ nông nghiệp
7,A,1,17,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan"
8,A,2,21,"Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp"
9,A,2,22,Khai thác gỗ
10,A,2,23,"Khai thác, thu nhặt lâm sản khác trừ gỗ"
11,A,2,24,Hoạt động dịch vụ lâm nghiệp
12,A,3,31,Khai thác thủy sản
13,A,3,32,Nuôi trồng thủy sản
14,B,5,51,Khai thác và thu gom than cứng
15,B,5,52,Khai thác và thu gom than non
16,B,6,61,Khai thác dầu thô
17,B,6,62,Khai thác khí đốt tự nhiên
18,B,7,71,Khai thác quặng sắt
19,B,7,72,Khai thác quặng không chứa sắt (trừ quặng kim loại quý hiếm)
20,B,7,73,Khai thác quặng kim loại quý hiếm
21,B,8,81,"Khai thác đá, cát, sỏi, đất sét"
22,B,8,89,Khai khoáng chưa được phân vào đâu
23,B,9,91,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên
24,B,9,99,Hoạt động dịch vụ hỗ trợ khai khoáng khác
25,C,10,101,"Chế biến, bảo quản thịt và các sản phẩm từ thịt"
26,C,10,102,"Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản"
27,C,10,103,Chế biến và bảo quản rau quả
28,C,10,104,"Sản xuất dầu, mỡ động, thực vật"
29,C,10,105,Chế biến sữa và các sản phẩm từ sữa
30,C,10,106,Xay xát và sản xuất bột
31,C,10,107,Sản xuất thực phẩm khác
32,C,10,108,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản"
33,C,11,110,Sản xuất đồ uống
34,C,12,120,Sản xuất sản phẩm thuốc lá
35,C,13,131,"Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt"
36,C,13,139,Sản xuất hàng dệt khác
37,C,14,141,May trang phục (trừ trang phục từ da lông thú)
38,C,14,142,Sản xuất sản phẩm từ da lông thú
39,C,14,143,"Sản xuất trang phục dệt kim, đan móc"
40,C,15,151,"Thuộc, sơ chế da; sản xuất va li, túi xách, yên đệm; sơ chế và nhuộm da lông thú"
41,C,15,152,"Sản xuất giày, dép"
42,C,16,161,"Cưa, xẻ, bào gỗ và bảo quản gỗ"
